Titel,Autor,Jahr,Journal,Typ,DOI
a novel device for head gesture measurement system in combination with eye-controlled human-machine interface,"lin, cs; ho, cw; chang, kc; hung, ss; shei, hj; yeh, ms",2006,optics and lasers in engineering,Article,10.1016/j.optlaseng.2005.06.005
the effect of visual and interaction fidelity on spatial cognition in immersive virtual environments,"mania, k; wooldridge, d; coxon, m; robinson, a",2006,ieee transactions on visualization and computer graphics,Article,10.1109/TVCG.2006.55
virtual reality in the rehabilitation of the upper limb after stroke: the user's perspective,"crosbie, jh; lennon, s; mcneill, mdj; mcdonough, sm",2006,cyberpsychology & behavior,Article; Proceedings Paper,10.1089/cpb.2006.9.137
effectiveness of virtual reality for pediatric pain distraction during iv placement,"gold, ji; kim, sh; kant, aj; joseph, mh; rizzo, a",2006,cyberpsychology & behavior,Article; Proceedings Paper,10.1089/cpb.2006.9.207
field-of-view tests for a virtual cockpit application,"chevaldonne, m; ballaz, c; merienne, f; neveu, m; chevassus, n; guillaume, f; arbez, c",2006,journal of electronic imaging,Article,10.1117/1.2189211
multimodal astronaut virtual training prototype,"ronkko, j; markkanen, j; launonen, r; ferrino, m; gaia, e; basso, v; patel, h; d'cruz, m; laukkanen, s",2006,international journal of human-computer studies,Article,10.1016/j.ijhcs.2005.08.004
a cooperative engineering environment using virtual reality with sensory user interfaces for steel bridge erection,"yabuki, n; machinaka, h; li, zt",2006,"cooperative design, visualization, and engineering, proceedings",Article; Proceedings Paper,0
a wide-field-of-view catadioptrical head-mounted display,"nagahara, h; yagi, y; yachida, m",2006,electronics and communications in japan part ii-electronics,Article,10.1002/ecjb.20304
crossmodal binding in localizing objects outside the field of view,"pierno, ac; caria, a; castiello, u",2006,visual cognition,Article,10.1080/13506280544000273
a new hybrid dynamic modelling approach for process planning,"mujber, ts; szecsi, t; hashmi, msj",2005,journal of materials processing technology,Article,10.1016/j.jmatprotec.2004.09.086
comparison of two vr platforms for rehabilitation: video capture versus hmd,"rand, d; kizony, r; feintuch, u; katz, n; josman, n; rizzo, a; weiss, pl",2005,presence-teleoperators and virtual environments,Article,10.1162/1054746053967012
the development of a symptom questionnaire for assessing virtual reality viewing using a head-mounted display,"ames, sl; wolffsohn, js; mcbrien, na",2005,optometry and vision science,Article,10.1097/01.OPX.0000156307.95086.6
a new paradigm for human-building interaction: the use of cfd and augmented reality,"malkawi, am; srinivasan, rs",2005,automation in construction,Article,10.1016/j.autcon.2004.08.001
atdv: an image transforming system,"farago, p; barros, l; cunha, g; landau, l; costa, rm",2005,"computational science - iccs 2005, pt 1, proceedings",Article; Proceedings Paper,0
an interaction interface for multiple agents on shared 3d display,"choi, jd; hwang, cj",2005,"cooperative design, visualization, and engineering, proceedings",Article; Proceedings Paper,0
neurofeedback training with virtual reality for inattention and impulsiveness,"cho, bh; kim, s; shin, di; lee, jh; lee, sm; kim, iy; kim, si",2004,cyberpsychology & behavior,Article,10.1089/cpb.2004.7.519
a cad-augmented reality integrated environment for assembly sequence check and interactive validation,"liverani, a; amati, g; caligiana, g",2004,concurrent engineering-research and applications,Article,10.1177/1063293X04042469
conflicting motion cues to the visual and vestibular self-motion systems around 0.06 hz evoke simulator sickness,"duh, hbl; parker, de; philips, jo; furness, ta",2004,human factors,Article,10.1518/hfes.46.1.142.30384
personalized messages that promote science learning in virtual environments,"moreno, r; mayer, re",2004,journal of educational psychology,Article,10.1037/0022-0663.96.1.165
treatment of acrophobia in virtual reality: the role of immersion and presence,"krijn, m; emmelkamp, pmg; biemond, r; de ligny, cd; schuemie, mj; van der mast, capg",2004,behaviour research and therapy,Article,10.1016/S0005-7967(03)00139-6
waraji: foot-driven navigation interfaces for virtual reality applications,"barrera, s; romanos, p; saito, s; takahashi, h; nakajima, m",2004,"advances in multimedia information processing - pcm 2004, pt 3, proceedings",Article; Proceedings Paper,0
collaborative interactions on 3d display for multi-user game environments,"choi, jd; jang, bt; hwang, cj",2004,computer human interaction: proceedings,Article; Proceedings Paper,0
effects of an eyeglass-free 3-d display on the human visual system,"suzuki, y; onda, y; katada, s; ino, s; ifukube, t",2004,japanese journal of ophthalmology,Article,10.1007/s10384-003-0001-7
assessment of various display devices on a virtual reality-based hand rehabilitation system,"huang, ws; shing, cy; fung, cp; chuang, ty; jeng, mc; doong, jl",2004,robotica,Article,10.1017/S0263574703005447
can personality traits predict pathological responses to audiovisual stimulation?,"yambe, t; yoshizawa, m; fukudo, s; fukuda, h; kawashima, r; shizuka, k; nanka, s; tanaka, a; abe, k; shouji, t; hongo, m; tabayashi, k; nitta, s",2003,biomedicine & pharmacotherapy,Article; Proceedings Paper,10.1016/j.biopha.2003.08.010
the effect of two types of virtual reality on voluntary center of pressure displacement,"lott, a; bisson, e; lajoie, y; mccomas, j; sveistrup, h",2003,cyberpsychology & behavior,Article,10.1089/109493103769710505
an investigation of road crossing in a virtual environment,"simpson, g; johnston, l; richardson, m",2003,accident analysis and prevention,Article,10.1016/S0001-4575(02)00081-7
"eye movement, vection, and motion sickness with foveal and peripheral vision","webb, na; griffin, mj",2003,aviation space and environmental medicine,Article,0
a virtual reality system for neurobehavioral and functional mri studies,"baumann, s; neff, c; fetzick, s; stangl, g; basler, l; vereneck, r; schneider, w",2003,cyberpsychology & behavior,Article; Proceedings Paper,10.1089/109493103322011542
virtual reality intervention for older women with breast cancer,"schneider, sm; ellis, m; coombs, wt; shonkwiler, el; folsom, lc",2003,cyberpsychology & behavior,Article; Proceedings Paper,10.1089/109493103322011605
a head-mounted display system for augmented reality: initial evaluation for interventional mri,"wendt, m; sauer, f; khamene, a; bascle, b; vogt, s; wacker, fk",2003,rofo-fortschritte auf dem gebiet der rontgenstrahlen und der bildgebenden verfahren,Article,10.1055/s-2003-37831
"integrating augmented reality in the assembly domain - fundamentals, benefits and applications","reinhart, g; patron, c",2003,cirp annals-manufacturing technology,Article,10.1016/S0007-8506(07)60517-4
hand postures recognition in large-display vr environments,"de la riviere, jb; guitton, p",2003,gesture-based communication in human-computer interaction,Article; Proceedings Paper,0
implementation of a virtual environment for traffic accident simulation part ii: developing the virtual environment,"hadipriono, fc; duane, jw; nemeth, za; won, s",2003,journal of intelligent & fuzzy systems,Article,0
walking on virtual tiles,"baram, y; aharon-peretz, j; simionovici, y; ron, l",2002,neural processing letters,Article,10.1023/A:1021778608344
an eye behavior measuring device for vr system,"lin, cs",2002,optics and lasers in engineering,Article,10.1016/S0143-8166(02)00034-9
learning science in virtual reality multimedia environments: role of methods and media,"moreno, r; mayer, re",2002,journal of educational psychology,Article,10.1037//0022-0663.94.3.598
refractive-diffractive visual system for micro-display of lcos,"zhao, ql; wang, zq; mu, gg; lu, zw",2002,chinese science bulletin,Article,10.1360/02tb9297
wireless user perspectives in europe: handsmart mediaphone interface,"antoniac, p; pulli, p; kuroda, t; bendas, d; hickey, s; sasaki, h",2002,wireless personal communications,Article; Proceedings Paper,10.1023/A:1019960305038
the effect of virtual reality cognitive training for attention enhancement,"cho, bh; ku, jh; jang, dp; kim, s; lee, yh; kim, iy; lee, jh; kim, si",2002,cyberpsychology & behavior,Article,10.1089/109493102753770516
image display technology and image processing,"hanna, g; cuschieri, a",2001,world journal of surgery,Article,10.1007/s00268-001-0127-z
a tangible ar desktop environment,"regenbrecht, h; baratoff, g; wagner, m",2001,computers & graphics-uk,Article,10.1016/S0097-8493(01)00118-2
theme-based content analysis: a flexible method for virtual environment evaluation,"neale, h; nichols, s",2001,international journal of human-computer studies,Article,10.1006/ijhc.2001.0475
virtual environments for assessing and rehabilitating cognitive/functional performance - a review of projects at the usc integrated media systems center,"rizzo, aa; buckwalter, jg; mcgee, js; bowerly, t; van der zaag, c; neumann, u; thiebaux, m; kim, l; pair, j; chua, c",2001,presence-teleoperators and virtual environments,Article,10.1162/1054746011470226
virtual reality and driving: tthe road to better assessment for cognitively impaired populations,"schultheis, mt; mourant, rr",2001,presence-teleoperators and virtual environments,Article,10.1162/1054746011470271
evaluation for the design of experience in virtual environments: modeling breakdown of interaction and illusion,"marsh, t; wright, p; smith, s",2001,cyberpsychology & behavior,Article,10.1089/109493101300117910
vestibule-ocular reflex modification after virtual environment exposure,"di girolamo, s; picciotti, p; sergi, b; di nardo, w; paludetti, g; ottaviani, f",2001,acta oto-laryngologica,Article,0
integrating virtual 3-d display systems into product design reviews: some insights from empirical testing,"bochenek, gm; ragusa, jm; malone, lc",2001,international journal of technology management,Article,10.1504/IJTM.2001.002917
designing an immersive virtual reality interface for layout planning,"korves, b; loftus, m",2000,journal of materials processing technology,Article; Proceedings Paper,10.1016/S0924-0136(00)00717-2
adaptation as a sensorial profile in trait anxiety: a study with virtual reality,"viaud-delmon, i; ivanenko, yp; berthoz, a; jouvent, r",2000,journal of anxiety disorders,Article,10.1016/S0887-6185(00)00052-9
preclinical evaluation of a virtual reality neuropsychological test system: occurrence of side effects,"kesztyues, ti; mehlitz, m; schilken, e; weniger, g; wolf, s; piccolo, u; irle, e; rienhoff, o",2000,cyberpsychology & behavior,Article; Proceedings Paper,10.1089/10949310050078788
the virtual classroom: a virtual reality environment for the assessment and rehabilitation of attention deficits,"rizzo, aa; buckwalter, jg; bowerly, t; van der zaag, c; humphrey, l; neumann, u; chua, c; kyriakakis, c; van rooyen, a; sisemore, d",2000,cyberpsychology & behavior,Article; Proceedings Paper,10.1089/10949310050078940
habituation to the side effects of immersion in a virtual environment,"hill, kj; howarth, pa",2000,displays,Article,10.1016/S0141-9382(00)00029-9
safety and comfort of eyeglass displays,"geelhoed, e; falahee, m; latham, k",2000,"handheld and ubiquitous computing, proceedings",Article; Proceedings Paper,0
the varioscope ar - a head-mounted operating microscope for augmented reality,"birkfellner, w; figl, m; huber, k; watzinger, f; wanschitz, f; hanel, r; wagner, a; rafolt, d; ewers, r; bergmann, h",2000,medical image computing and computer-assisted intervention - miccai 2000,Article; Proceedings Paper,0
